标志,ID,人物,内容,NPC,跳转ID,效果,目标
#,1,小白,你知道哪里有比较好的Unity视频教程吗？,同龄人,2,,
#,2,同龄人,SiKi学院就有啊,同龄人,3,,
#,3,小白,视频内容适合入门吗？,同龄人,4,,
#,4,同龄人,Unity入门、进阶都有，有学习路线，找SiKi客服要学习路线，根据学习路线学习,同龄人,5,,
#,5,小白,好的，谢谢！,SiKi客服,6,成长值@10,小白
#,6,小白,老师，请问有Unity的学习路线吗？,SiKi客服,7,,
#,7,SiKi客服,https://zhuanlan.zhihu.com/p/540245002,SiKi客服,8,成长值@10,小白
#,8,小白,SiKi学院的视频有免费的吗？,SiKi客服,9,,
#,9,SiKi客服,有免费的，也有收费的，收费需要加入A计划，你要加入A计划吗？,SiKi客服,10,,
&,10,,加入,SiKi客服,12,成长值@30,小白
&,11,,不加入,SiKi客服,13,成长值@5,
#,12,SiKi客服,加入A计划可以观看所属方向的所有收费课程以及有效期内更新的所有收费课程！,SiKi客服,13,,
#,13,SiKi客服,有问题可以QQ咨询客服喔，QQ:88137944，接下来你可以先找小Y老师学习,小Y老师,14,成长值@10,小白
#,14,小Y老师,来认识Unity的吗？,小Y老师,15,,
#,15,小白,我想了解Unity的历史、Unity的职位和Unity的安装等信息,小Y老师,16,,
#,16,小Y老师,恭喜你初步认识Unity！可以再去找Mono老师学习,Mono老师,17,成长值@10,小白
#,17,Mono老师,来学习C#编程语言吗？,Mono老师,18,,
#,18,小白,我想学C#语言基础、面向对象编程和C#高级编程的知识,Mono老师,19,,
#,19,Mono老师,恭喜你完成C#编程语言的学习！可以再去找稀粥老师学习,稀粥老师,20,成长值@10,小白
#,20,稀粥老师,来学习Unity引擎知识吗？,稀粥老师,21,,
#,21,小白,我想学习Unity引擎界面、常用组件、UGUI、动画系统、物理系统、Shder等等,稀粥老师,22,,
#,22,稀粥老师,恭喜你完成Unity引擎的学习！可以再去找Trigger老师学习,Trigger老师,23,成长值@10,小白
#,23,Trigger老师,来学习Unity项目知识吗?,Trigger老师,24,,
#,24,小白,2D、3D、VR和AR项目知识我都想学,Trigger老师,25,,
#,25,Trigger老师,恭喜你完成Unity的实战练习！可以再去找SiKi老师学习,SiKi老师,26,成长值@10,小白
#,26,SiKi老师,你已经可以工作了，还想学习吗？,SiKi老师,27,,
#,27,小白,还有吗？,SiKi老师,28,,
#,28,SiKi老师,最后一阶段是Unity高级图形学，会有点难,SiKi老师,29,,
#,29,小白,我很感兴趣，不怕难,SiKi老师,30,,
#,30,SiKi老师,加油！SiKi学院时刻欢迎你！,SiKi老师,31,,
END,31,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
